"E001","90 Degree Alternate Heel Touch","Trains controlled side bending for core control and coordination through slow, precise movement.","abs","bodyweight","focus","Core|HIIT|Bodybuilding"
"E002","90 Degree Heel Touch","Builds controlled side-to-side core tension, helping improve stability and coordination.","abs","bodyweight","focus","Core|HIIT|Bodybuilding"
"E003","Abdominal Air Bike","Bodyweight core exercise combining controlled rotation with steady tension to build strength and endurance.","abs","bodyweight","goals","Cardio|HIIT|Crossfit"
"E004","Alternate Heel Touchers","Simple core exercise that builds control and endurance using small side-to-side movements under tension.","abs","bodyweight","goals","Core|Endurance|HIIT"
"E005","Alternate Leg Raise","Controlled core exercise that builds strength and stability by lifting one leg at a time while staying steady.","abs","bodyweight","goals","Core|Endurance|HIIT"
"E006","Alternate Standing Dumbbell Curl","Builds arm strength by lifting one weight at a time, improving control and balance between sides.","arms","dumbbell","build","Strength|Bodybuilding"
"E007","Barbell Curl","Basic arm exercise that builds strength and size by lifting a bar through a controlled bending motion.","arms","barbell","build","Strength|Bodybuilding"
"E008","Barbell Bent Over Row","Powerful compound exercise that builds back strength, improves posture and supports overall pulling performance.","back","barbell","build","Strength|Bodybuilding|Powerlifting"
"E009","Back Extension On Stability Ball","Controlled bodyweight exercise that strengthens the lower back while improving balance and core control.","back","stability","build","Strength|Core|Recovery"
"E010","Assisted Pull-Up","Helps build pulling strength by reducing bodyweight resistance, making it easier to learn proper pull-up technique.","back","machine","focus","Strength|Bodybuilding|HIIT"
"E011","Barbell Bench Press","Foundational chest exercise used to build upper-body pushing strength with a barbell on a flat bench.","chest","barbell","build","Strength|Powerlifting|Bodybuilding"
"E012","Barbell Incline Bench Press","Chest exercise that emphasizes upper chest strength by pressing a barbell on an inclined bench.","chest","barbell","build","Strength|Bodybuilding|Powerlifting"
"E013","Barbell Decline Bench Press","Chest exercise that emphasizes lower chest strength using a barbell on a downward-sloping bench.","chest","barbell","build","Strength|Bodybuilding"
"E014","Band Resisted Push Up","Push-up variation that increases upper-body strength by adding band resistance to the pressing movement.","chest","band","build","Strength|HIIT|Bodybuilding"
"E015","Back Pec Stretch","Mobility exercise used to open the chest and front shoulders, supporting better posture and smoother shoulder movement.","chest","bodyweight","goals","Stretching|Mobility|Recovery"
"E016","Barbell Hip Thrust","Compound lower-body strength exercise that builds glute power through loaded hip extension.","glutes","barbell","build","Strength|Bodybuilding|Powerlifting"
"E017","Banded Hip Thrusts","Lower-body strength exercise that builds glute power and tension through band resistance.","glutes","band","build","Strength|Bodybuilding|HIIT"
"E018","Barbell Deadlift","Foundational strength exercise that builds full-body power and proper lifting mechanics.","legs","barbell","build","Strength|Powerlifting|Bodybuilding"
"E019","Barbell Front Squat","Lower-body strength exercise that builds quad strength while reinforcing an upright, stable squat position.","legs","barbell","build","Strength|Powerlifting|Bodybuilding"
"E020","Barbell Lunge","Compound lower-body exercise that builds leg strength, balance and control through unilateral loading.","legs","barbell","build","Strength|Bodybuilding|HIIT"
"E021","Barbell Good Morning","Hinge-based exercise that strengthens the hamstrings, glutes and lower back while reinforcing proper hip mechanics.","legs","barbell","build","Strength|Powerlifting"
"E022","Assault Bike Run","Full-body conditioning movement that uses steady pedaling and pushing to build stamina and work capacity.","legs","machine","focus","Endurance|Cardio|HIIT|Crossfit"
"E023","Barbell Clean And Jerk","Explosive full-body lift that builds power, coordination and total-body strength in one fluid movement.","legs","barbell","focus","Strength|Crossfit|Powerlifting"
"E024","90/90 Stretch","Improves hip mobility and control by guiding your hips through a stable, seated rotation position.","legs","bodyweight","goals","Stretching|Mobility|Recovery"
"E025","Ball Rolling for Front Thigh","Simple recovery exercise that helps reduce stiffness and improve comfort in the front of the leg.","legs","bodyweight","goals","Stretching|Mobility|Recovery"
"E026","Barbell Front Raise","Builds shoulder strength and control by lifting a fixed bar through a controlled front-to-shoulder range.","shoulders","barbell","build","Strength|Bodybuilding"
